git [Time: 2024-04-22 04:17:39,856, File: weather.py:17, Function: get_weather] DEBUG -  Getting weather for 28348
[Time: 2024-04-22 04:17:39,860, File: connectionpool.py:1055, Function: _new_conn] DEBUG -  Starting new HTTPS connection (1): us-weather-by-zip-code.p.rapidapi.com:443
[Time: 2024-04-22 04:17:40,523, File: connectionpool.py:549, Function: _make_request] DEBUG -  https://us-weather-by-zip-code.p.rapidapi.com:443 "GET /getweatherzipcode?zip=28348 HTTP/1.1" 200 350
[Time: 2024-04-22 04:17:40,525, File: weather.py:14, Function: __init__] INFO -  Weather for 28348 retrieved
[Time: 2024-04-22 04:17:40,526, File: weather.py:39, Function: verbal_weather] DEBUG -  Verbose message requested for 28348
[Time: 2024-04-22 04:17:40,526, File: weather.py:40, Function: verbal_weather] DEBUG -  Weather is Overcast and a temperature is 50.0 degrees Fahrenheit with 89% humidity.
[Time: 2024-04-22 04:18:33,920, File: weather.py:17, Function: get_weather] DEBUG -  Getting weather for 28348
[Time: 2024-04-22 04:18:33,921, File: connectionpool.py:1055, Function: _new_conn] DEBUG -  Starting new HTTPS connection (1): us-weather-by-zip-code.p.rapidapi.com:443
[Time: 2024-04-22 04:18:34,431, File: connectionpool.py:549, Function: _make_request] DEBUG -  https://us-weather-by-zip-code.p.rapidapi.com:443 "GET /getweatherzipcode?zip=28348 HTTP/1.1" 200 350
[Time: 2024-04-22 04:18:34,433, File: weather.py:14, Function: __init__] INFO -  Weather for 28348 retrieved
[Time: 2024-04-22 04:18:34,433, File: weather.py:39, Function: verbal_weather] DEBUG -  Verbose message requested for 28348
[Time: 2024-04-22 04:18:34,434, File: weather.py:40, Function: verbal_weather] DEBUG -  Weather is Overcast and a temperature is 50.0 degrees Fahrenheit with 89% humidity.
[Time: 2024-04-22 04:42:51,211, File: connectionpool.py:1055, Function: _new_conn] DEBUG -  Starting new HTTPS connection (1): huggingface.co:443
[Time: 2024-04-22 04:42:51,403, File: connectionpool.py:549, Function: _make_request] DEBUG -  https://huggingface.co:443 "HEAD /google/flan-t5-base/resolve/main/tokenizer_config.json HTTP/1.1" 200 0
[Time: 2024-04-22 04:42:51,405, File: _api.py:269, Function: acquire] DEBUG -  Attempting to acquire lock 139870154045568 on /home/kendrachauntell/.cache/huggingface/hub/.locks/models--google--flan-t5-base/e3685b0cb5c8909cf3e7d72ffc16ca94c861bdfb.lock
[Time: 2024-04-22 04:42:51,405, File: _api.py:272, Function: acquire] DEBUG -  Lock 139870154045568 acquired on /home/kendrachauntell/.cache/huggingface/hub/.locks/models--google--flan-t5-base/e3685b0cb5c8909cf3e7d72ffc16ca94c861bdfb.lock
[Time: 2024-04-22 04:42:51,454, File: connectionpool.py:549, Function: _make_request] DEBUG -  https://huggingface.co:443 "GET /google/flan-t5-base/resolve/main/tokenizer_config.json HTTP/1.1" 200 2537
[Time: 2024-04-22 04:42:51,459, File: _api.py:302, Function: release] DEBUG -  Attempting to release lock 139870154045568 on /home/kendrachauntell/.cache/huggingface/hub/.locks/models--google--flan-t5-base/e3685b0cb5c8909cf3e7d72ffc16ca94c861bdfb.lock
[Time: 2024-04-22 04:42:51,460, File: _api.py:305, Function: release] DEBUG -  Lock 139870154045568 released on /home/kendrachauntell/.cache/huggingface/hub/.locks/models--google--flan-t5-base/e3685b0cb5c8909cf3e7d72ffc16ca94c861bdfb.lock
[Time: 2024-04-22 04:42:51,523, File: connectionpool.py:549, Function: _make_request] DEBUG -  https://huggingface.co:443 "HEAD /google/flan-t5-base/resolve/main/spiece.model HTTP/1.1" 302 0
[Time: 2024-04-22 04:42:51,524, File: _api.py:269, Function: acquire] DEBUG -  Attempting to acquire lock 139870154045808 on /home/kendrachauntell/.cache/huggingface/hub/.locks/models--google--flan-t5-base/d60acb128cf7b7f2536e8f38a5b18a05535c9e14c7a355904270e15b0945ea86.lock
[Time: 2024-04-22 04:42:51,525, File: _api.py:272, Function: acquire] DEBUG -  Lock 139870154045808 acquired on /home/kendrachauntell/.cache/huggingface/hub/.locks/models--google--flan-t5-base/d60acb128cf7b7f2536e8f38a5b18a05535c9e14c7a355904270e15b0945ea86.lock
[Time: 2024-04-22 04:42:51,527, File: connectionpool.py:1055, Function: _new_conn] DEBUG -  Starting new HTTPS connection (1): cdn-lfs.huggingface.co:443
[Time: 2024-04-22 04:42:51,803, File: connectionpool.py:549, Function: _make_request] DEBUG -  https://cdn-lfs.huggingface.co:443 "GET /repos/bf/6f/bf6f650b464b29d0010bd25d18d9ebb545383704c670af1fcceac81468c7d8c3/d60acb128cf7b7f2536e8f38a5b18a05535c9e14c7a355904270e15b0945ea86?response-content-disposition=attachment%3B+filename*%3DUTF-8%27%27spiece.model%3B+filename%3D%22spiece.model%22%3B&Expires=1714032764&Policy=eyJTdGF0ZW1lbnQiOlt7IkNvbmRpdGlvbiI6eyJEYXRlTGVzc1RoYW4iOnsiQVdTOkVwb2NoVGltZSI6MTcxNDAzMjc2NH19LCJSZXNvdXJjZSI6Imh0dHBzOi8vY2RuLWxmcy5odWdnaW5nZmFjZS5jby9yZXBvcy9iZi82Zi9iZjZmNjUwYjQ2NGIyOWQwMDEwYmQyNWQxOGQ5ZWJiNTQ1MzgzNzA0YzY3MGFmMWZjY2VhYzgxNDY4YzdkOGMzL2Q2MGFjYjEyOGNmN2I3ZjI1MzZlOGYzOGE1YjE4YTA1NTM1YzllMTRjN2EzNTU5MDQyNzBlMTViMDk0NWVhODY~cmVzcG9uc2UtY29udGVudC1kaXNwb3NpdGlvbj0qIn1dfQ__&Signature=fpHEBokLlQPRjOQ~UgHhbxjRxe8dH4PSimw6t5E3PJB9MZN-pu1ybyssw0on9Ak55E-WCP~Ohb6qLwvrj2rCQvi70MXWKGkAivqJ1HxgTZ5Ay0kZln5RSELNor9KaPHrWSr9x3OFStFZkpxs8zrXn5eoHpCwOs2OVw9-8zSicB-v37uKz0hGFHR8fTYQNHBqhgUGVAz6cix5rNzp4PhLHOZKa2hRa4xdVfYA1H1kTPz0ivpWJuTog2VMUv-5M~9TyNyBSfnLX6ZF4kt2HXslL3WXCswBlIDyW0163beS67G0yUh-4AdhWyg3VPLPS5sPxuHRvzcJVpKFc8-aJ~z6Dw__&Key-Pair-Id=KVTP0A1DKRTAX HTTP/1.1" 200 791656
[Time: 2024-04-22 04:42:51,981, File: _api.py:302, Function: release] DEBUG -  Attempting to release lock 139870154045808 on /home/kendrachauntell/.cache/huggingface/hub/.locks/models--google--flan-t5-base/d60acb128cf7b7f2536e8f38a5b18a05535c9e14c7a355904270e15b0945ea86.lock
[Time: 2024-04-22 04:42:51,981, File: _api.py:305, Function: release] DEBUG -  Lock 139870154045808 released on /home/kendrachauntell/.cache/huggingface/hub/.locks/models--google--flan-t5-base/d60acb128cf7b7f2536e8f38a5b18a05535c9e14c7a355904270e15b0945ea86.lock
[Time: 2024-04-22 04:42:52,138, File: connectionpool.py:549, Function: _make_request] DEBUG -  https://huggingface.co:443 "HEAD /google/flan-t5-base/resolve/main/added_tokens.json HTTP/1.1" 404 0
[Time: 2024-04-22 04:42:52,192, File: connectionpool.py:549, Function: _make_request] DEBUG -  https://huggingface.co:443 "HEAD /google/flan-t5-base/resolve/main/special_tokens_map.json HTTP/1.1" 200 0
[Time: 2024-04-22 04:42:52,193, File: _api.py:269, Function: acquire] DEBUG -  Attempting to acquire lock 139870154045328 on /home/kendrachauntell/.cache/huggingface/hub/.locks/models--google--flan-t5-base/2c19eb6e3b583f52d34b903b5978d3d30b6b7682.lock
[Time: 2024-04-22 04:42:52,194, File: _api.py:272, Function: acquire] DEBUG -  Lock 139870154045328 acquired on /home/kendrachauntell/.cache/huggingface/hub/.locks/models--google--flan-t5-base/2c19eb6e3b583f52d34b903b5978d3d30b6b7682.lock
[Time: 2024-04-22 04:42:52,234, File: connectionpool.py:549, Function: _make_request] DEBUG -  https://huggingface.co:443 "GET /google/flan-t5-base/resolve/main/special_tokens_map.json HTTP/1.1" 200 2201
[Time: 2024-04-22 04:42:52,236, File: _api.py:302, Function: release] DEBUG -  Attempting to release lock 139870154045328 on /home/kendrachauntell/.cache/huggingface/hub/.locks/models--google--flan-t5-base/2c19eb6e3b583f52d34b903b5978d3d30b6b7682.lock
[Time: 2024-04-22 04:42:52,236, File: _api.py:305, Function: release] DEBUG -  Lock 139870154045328 released on /home/kendrachauntell/.cache/huggingface/hub/.locks/models--google--flan-t5-base/2c19eb6e3b583f52d34b903b5978d3d30b6b7682.lock
[Time: 2024-04-22 04:42:52,291, File: connectionpool.py:549, Function: _make_request] DEBUG -  https://huggingface.co:443 "HEAD /google/flan-t5-base/resolve/main/tokenizer.json HTTP/1.1" 200 0
[Time: 2024-04-22 04:42:52,292, File: _api.py:269, Function: acquire] DEBUG -  Attempting to acquire lock 139870154040480 on /home/kendrachauntell/.cache/huggingface/hub/.locks/models--google--flan-t5-base/fc669fbad1a6a82119ca3e1fa75db33ee22ca47d.lock
